"E01000256",1788,711
"E01000257",1855,573
"E01000258",1658,691
"E01000259",2597,953
"E01000260",1982,656
"E01000261",1601,771
"E01000262",2260,798
"E01000263",1581,760
"E01000264",1648,571
"E01000265",1927,674
"E01000266",1527,694
"E01000267",1520,683
"E01000268",1739,749
"E01000269",1425,719
"E01000270",1482,702
"E01000271",1469,680
"E01000272",1340,557
"E01000273",1520,547
"E01000274",1862,759
"E01000275",1637,570
"E01000276",1520,494
"E01000277",1591,430
"E01000278",1514,457
"E01000279",1449,723
"E01000280",1381,597
"E01000281",1260,437
"E01000282",1705,620
"E01000283",1430,559
"E01000284",1672,589
"E01000285",1449,768
"E01000286",1571,781
"E01000287",1589,840
"E01000288",1569,784
"E01000289",1817,739
"E01000290",1557,899
"E01000291",1575,696
"E01000292",1467,748
"E01000293",1722,786
"E01000294",1599,815
"E01000295",1714,475
"E01000296",1707,443
"E01000297",1434,427
"E01000298",1812,508
"E01000299",1809,463
"E01000300",1632,508
"E01000301",1539,474
"E01000302",1763,490
"E01000303",1567,453
"E01000304",1556,472
"E01000305",1657,346
"E01000306",1696,274
"E01000307",1655,425
"E01000308",1516,493
"E01000309",1822,418
"E01000310",2029,451
"E01000311",1632,760
"E01000312",1672,421
"E01000313",1858,352
"E01000314",1865,396
"E01000315",1715,710
"E01000316",2312,697
"E01000317",1613,472
"E01000318",1840,502
"E01000319",1500,569
"E01000320",1475,586
"E01000321",1635,528
"E01000322",1717,593
"E01000323",1982,511
"E01000324",1786,663
"E01000325",1610,1154
"E01000326",1295,931
"E01000327",1543,1111
"E01000328",1480,1027
"E01000329",1316,933
"E01000330",1544,1089
"E01000331",1630,1147
"E01000332",1529,922
"E01000333",1666,1115
"E01000334",1611,1071
"E01000335",1794,905
"E01000336",1886,889
"E01000337",1653,998
"E01000338",1751,940
"E01000339",1530,1072
"E01000340",1502,1099
"E01000341",1490,1123
"E01000342",1595,1147
"E01000343",1535,1137
"E01000344",1609,1157
"E01000345",1355,979
"E01000346",1622,1167
"E01000347",1486,1084
"E01000348",1481,1058
"E01000349",1659,1169
"E01000350",1501,1093
"E01000351",1586,1125
"E01000352",1575,1094
"E01000353",1686,1175
"E01000354",1505,997
"E01000355",1464,1043
"E01000356",1546,1034
"E01000357",1457,920
"E01000358",1608,1097
"E01000359",1280,863
"E01000360",1662,1035
"E01000361",1540,1098
"E01000362",1482,979
"E01000363",1441,951
"E01000364",1577,1046
"E01000365",1678,1117
"E01000366",1585,1013
"E01000367",1575,1019
"E01000368",1539,1047
"E01000369",1618,1095
"E01000370",1597,1115
"E01000371",1545,1114
"E01000372",1680,1076
"E01000373",1574,830
"E01000374",1533,1083
"E01000375",1476,1001
"E01000376",1541,1030
"E01000377",1420,1012
"E01000378",2121,1418
"E01000379",1680,1141
"E01000380",1455,1078
"E01000381",1598,1171
"E01000382",1524,1069
"E01000383",1505,1088
"E01000384",1722,1187
"E01000385",1866,1246
"E01000386",1457,925
"E01000387",1535,1051
"E01000388",1531,1021
"E01000389",1649,1120
"E01000390",1290,853
"E01000391",1709,1226
"E01000392",1646,963
"E01000393",1581,1033
"E01000394",1458,949
"E01000395",1428,999
"E01000396",1399,964
"E01000398",1599,1077
"E01000399",1554,1051
"E01000400",1547,972
"E01000401",1647,1114
"E01000402",1536,960
"E01000403",2108,1219
"E01000404",2234,1021
"E01000405",1410,757
"E01000406",1649,823
"E01000407",1480,937
"E01000408",1636,744
"E01000409",1649,1192
"E01000410",1568,1086
"E01000411",1398,953
"E01000412",1678,1107
"E01000413",1301,893
"E01000414",1708,964
"E01000415",1498,1006
"E01000416",1547,605
"E01000417",1639,1022
